customer_id,verified_review_count
15333782,4
15334849,1
15335422,1
15336435,1
15336604,1
15339686,1
15340680,1
15342365,1
15343202,1
15345537,1
15349309,1
15359272,2
15360169,2
15360528,2
15363257,2
15363432,3
15363685,1
15376728,1
15379071,1
15384391,1
15386220,1
15387516,1
15390704,1
15391925,1
15392481,1
15395197,1
15396206,1
15397041,1
15397427,2
15399133,1
15409078,1
15414295,1
15414575,1
15416433,1
15417486,1
15417523,1
15417982,1
15418990,1
15421522,1
15423582,1
15423646,1
15423808,2
15424160,1
15429345,1
15437457,1
15438117,1
15443249,2
15444639,2
15448996,1
15449435,1
15451872,1
15452746,1
15453227,1
15456708,1
15461484,44
15462359,1
15466442,1
15474759,1
15475430,2
15475639,1
15478127,2
15483048,1
15483958,1
15484852,1
15486214,1
15495692,1
15496065,1
15496210,1
15496958,2
15497841,1
15500973,1
15504816,1
15508646,1
15509857,1
15510394,1
15510903,1
15513133,1
15513347,1
15515440,1
15516346,1
15519279,1
15519467,1
15522709,1
15526159,2
15529757,2
15531474,1
15533074,2
15543337,1
15551152,2
15552398,1
15554051,1
15554582,1
15559288,1
15560564,1
15564493,1
15565004,1
15569825,1
15572397,1
15574170,1
15580543,1
15581426,1
15582751,1
15585180,2
15588789,1
15589307,1
15590772,3
15596972,1
15602168,1
15608767,2
15609316,1
15612130,1
15612533,1
15613946,1
15618521,1
15624016,1
15624330,1
15624536,1
15628159,1
15634066,1
15639735,1
15642665,1
15643463,1
15643854,1
15644099,2
15646896,1
15649628,1
15656997,1
15657337,3
15664081,1
15668992,1
15673966,1
15684436,1
15685787,3
15685937,1
15687303,1
15692359,1
15702068,1
15704534,2
15705650,1
15710900,1
15711383,1
15714309,1
15719435,12
15725057,1
15727675,2
15728379,1
15731087,1
15731210,1
15732771,2
15732860,1
15746884,2
15750760,1
15753908,1
15765222,2
15775103,1
15775258,1
15775323,2
15776258,2
15778381,1
15779117,1
15779565,3
15783059,1
15787040,1
15789233,1
15794563,1
15796408,1
15798307,2
15800252,1
15808915,1
15809630,2
15809827,1
15810409,1
15811845,1
15811920,1
15813547,1
15814830,1
15817234,2
15817446,1
15818731,2
15819667,1
15821511,1
15821947,1
15822266,1
15824891,1
15825273,1
15825859,1
15826092,1
15831072,1
15833579,1
15835974,1
15837170,2
15839367,3
15839746,1
15843122,1
15849158,1
15849355,2
15853777,1
15855239,4
15856648,1
15856976,1
15857070,1
15859145,2
15866055,1
15866622,1
15868545,1
15871615,1
15875465,2
15876399,1
15881247,1
15881891,1
15883242,1
15886289,1
15887535,1
15889504,1
15890423,1
15893074,1
15894881,1
15895508,1
15899435,1
15906764,8
15908648,11
15909565,1
15910240,1
15916744,1
15917886,2
15922056,1
15922386,1
15925776,1
15928106,2
15932184,1
15934276,1
15935053,3
15935958,1
15939941,1
15943764,1
15946668,2
15947290,2
15948027,1
15950202,1
15950302,1
15950843,2
15951958,1
15954860,1
15955731,2
15957307,1
15957970,1
15962526,1
15967768,1
15968950,2
15976516,1
15977376,5
15979065,1
15980500,1
15983713,1
15991629,1
15992090,1
15992397,1
15995890,1
15997281,1
15997781,1
15997949,1
15998451,2
16000080,7
16000856,1
16001110,1
16008876,1
16008888,1
16010002,1
16010818,1
16011469,1
16016441,1
16018231,1
16018548,2
16020202,1
16021648,2
16021984,1
16025204,1
16027542,1
16030376,2
16030538,1
16031751,1
16036482,1
16037407,1
16038327,2
16040746,1
16042956,1
16043404,1
16044153,1
16044750,1
16044958,1
16048852,1
16053721,1
16054574,1
16056031,1
16057371,2
16058238,1
16063744,1
16063986,1
16065701,1
16067502,2
16068626,1
16068916,1
16074362,1
16076697,1
16076699,1
16082170,1
16083766,2
16084111,2
16088220,1
16092787,1
16092833,1
16093989,1
16094932,1
16101686,1
16101815,1
16103181,2
16104151,1
16105026,2
16105192,1
16107381,2
16107417,1
16107487,1
16110902,1
16117732,1
16118043,1
16121824,2
16121903,5
16122775,1
16123292,1
16124762,4
16131444,1
16133997,1
16134022,1
16135480,2
16139061,2
16139148,1
16141127,1
16144189,1
16145596,1
16145948,1
16147048,1
16150307,1
16152412,1
16157567,1
16157762,1
16159388,1
16161832,1
16163217,3
16163296,1
16163470,1
16170737,1
16177474,1
16179897,18
16180619,1
16180928,1
16182860,1
16185275,3
16189322,1
16190377,1
16192351,1
16195201,1
16195435,1
16195708,1
16198844,2
16198940,1
16199902,1
16200031,1
16200508,2
16202397,1
16203916,3
16205260,1
16205762,1
16207144,1
16209396,1
16210063,1
16211453,2
16212726,1
16213651,1
16215198,1
16215322,2
16217102,1
16217737,1
16218060,1
16219411,1
16219987,1
16220439,1
16220974,1
16222775,1
16223218,1
16224508,1
16225186,1
16226345,1
16227373,2
16230270,1
16231686,1
16232055,1
16240274,2
16241363,1
16245104,1
16246786,1
16247307,2
16249576,1
16250676,2
16253974,3
16254829,1
16255514,2
16255800,1
16257759,1
16260221,1
16260521,1
16266903,1
16267261,1
16272093,1
16276272,1
16276278,1
16277810,2
16277880,2
16282394,1
16288213,1
16289957,1
16291237,1
16296670,1
16298926,2
16299671,2
16300118,1
16300683,1
16301578,1
16307317,2
16308048,2
16308949,1
16313877,1
16314616,1
16316766,1
16316825,1
16317898,1
16317946,1
16319715,1
16321776,1
16324433,4
16325362,1
16326880,1
16328610,1
16331632,2
16331821,1
16336924,1
16337246,2
16340221,1
16343272,1
16344491,1
16352038,1
16352897,1
16353801,1
